experiment,size,training_accuracy,test_accuracy
1,    0.1060,    0.9930,    0.7850
1,    0.2060,    0.9870,    0.7990
1,    0.3010,    0.9840,    0.8080
1,    0.4060,    0.9800,    0.8140
1,    0.4960,    0.9780,    0.8190
1,    0.6060,    0.9760,    0.8220
1,    0.7000,    0.9740,    0.8240
1,    0.7980,    0.9720,    0.8260
1,    0.9010,    0.9700,    0.8300
1,    1.0000,    0.9690,    0.8310
2,    0.1080,    0.9940,    0.7850
2,    0.2060,    0.9890,    0.8050
2,    0.3060,    0.9830,    0.8130
2,    0.4050,    0.9810,    0.8180
2,    0.5050,    0.9780,    0.8200
2,    0.6080,    0.9760,    0.8220
2,    0.7000,    0.9750,    0.8260
2,    0.7980,    0.9730,    0.8280
2,    0.9010,    0.9710,    0.8300
2,    1.0000,    0.9690,    0.8310
3,    0.1000,    0.9940,    0.7860
3,    0.2000,    0.9890,    0.8050
3,    0.3050,    0.9840,    0.8080
3,    0.4100,    0.9810,    0.8160
3,    0.5030,    0.9790,    0.8160
3,    0.6070,    0.9770,    0.8230
3,    0.7000,    0.9740,    0.8240
3,    0.7950,    0.9730,    0.8280
3,    0.8980,    0.9710,    0.8280
3,    1.0000,    0.9690,    0.8310
4,    0.1080,    0.9950,    0.7890
4,    0.1920,    0.9890,    0.8010
4,    0.3050,    0.9850,    0.8110
4,    0.4040,    0.9810,    0.8150
4,    0.5080,    0.9790,    0.8220
4,    0.6080,    0.9770,    0.8240
4,    0.7010,    0.9750,    0.8250
4,    0.7920,    0.9720,    0.8270
4,    0.9040,    0.9710,    0.8290
4,    1.0000,    0.9690,    0.8310
5,    0.1070,    0.9930,    0.7880
5,    0.2050,    0.9880,    0.8020
5,    0.3020,    0.9850,    0.8080
5,    0.4010,    0.9820,    0.8130
5,    0.5040,    0.9790,    0.8180
5,    0.6070,    0.9770,    0.8210
5,    0.6990,    0.9750,    0.8260
5,    0.7980,    0.9720,    0.8270
5,    0.8950,    0.9710,    0.8290
5,    1.0000,    0.9690,    0.8310
6,    0.1060,    0.9920,    0.7840
6,    0.2060,    0.9880,    0.8000
6,    0.3070,    0.9850,    0.8080
6,    0.4040,    0.9820,    0.8150
6,    0.5100,    0.9790,    0.8210
6,    0.6100,    0.9760,    0.8210
6,    0.7030,    0.9740,    0.8250
6,    0.8070,    0.9730,    0.8280
6,    0.9000,    0.9710,    0.8300
6,    1.0000,    0.9690,    0.8310
7,    0.1060,    0.9920,    0.7830
7,    0.2090,    0.9870,    0.8010
7,    0.3060,    0.9840,    0.8070
7,    0.4020,    0.9810,    0.8130
7,    0.5010,    0.9790,    0.8180
7,    0.6040,    0.9770,    0.8210
7,    0.7020,    0.9750,    0.8260
7,    0.8040,    0.9730,    0.8270
7,    0.9070,    0.9710,    0.8300
7,    1.0000,    0.9690,    0.8310
8,    0.1050,    0.9920,    0.7820
8,    0.2070,    0.9880,    0.7990
8,    0.3020,    0.9840,    0.8060
8,    0.4050,    0.9800,    0.8130
8,    0.5070,    0.9780,    0.8150
8,    0.6000,    0.9760,    0.8190
8,    0.7090,    0.9740,    0.8230
8,    0.8090,    0.9720,    0.8280
8,    0.9030,    0.9710,    0.8300
8,    1.0000,    0.9690,    0.8310
9,    0.1080,    0.9930,    0.7840
9,    0.2050,    0.9880,    0.7960
9,    0.3070,    0.9830,    0.8080
9,    0.4100,    0.9800,    0.8140
9,    0.5050,    0.9780,    0.8160
9,    0.6070,    0.9760,    0.8200
9,    0.6970,    0.9740,    0.8250
9,    0.7990,    0.9730,    0.8260
9,    0.8950,    0.9710,    0.8280
9,    1.0000,    0.9690,    0.8310
10,    0.1080,    0.9920,    0.7840
10,    0.2050,    0.9880,    0.8000
10,    0.3090,    0.9830,    0.8080
10,    0.4070,    0.9800,    0.8110
10,    0.4980,    0.9770,    0.8160
10,    0.6060,    0.9750,    0.8200
10,    0.7080,    0.9730,    0.8260
10,    0.8030,    0.9720,    0.8260
10,    0.9090,    0.9710,    0.8300
10,    1.0000,    0.9690,    0.8310
